"DateTime","Number of sales","Sales USD"
"2021-12-15 00:00:00",491,1521677.86
"2021-12-16 00:00:00",570,1317494.13
"2021-12-17 00:00:00",956,1979587.62
"2021-12-18 00:00:00",552,1433114.04
"2021-12-19 00:00:00",309,1270068
"2021-12-20 00:00:00",1950,7486847.65
"2021-12-21 00:00:00",651,1309060.01
"2021-12-22 00:00:00",607,2089934.04
"2021-12-23 00:00:00",440,1742170.56
"2021-12-24 00:00:00",441,1145108.81
"2021-12-25 00:00:00",447,2908535.98
"2021-12-26 00:00:00",2803,3783514.52
"2021-12-27 00:00:00",1324,6328268.91
"2021-12-28 00:00:00",481,1043506.38
"2021-12-29 00:00:00",425,2384639.86
"2021-12-30 00:00:00",435,1058422.58
"2021-12-31 00:00:00",807,2468270.27
"2022-01-01 00:00:00",638,2616248.42
"2022-01-02 00:00:00",220,1701848.59
"2022-01-03 00:00:00",295,946578.59
"2022-01-04 00:00:00",145,653826.77
"2022-01-05 00:00:00",145,702004.61
"2022-01-06 00:00:00",206,1592176.76
"2022-01-07 00:00:00",500,1534033.09
"2022-01-08 00:00:00",167,1163520.74
"2022-01-09 00:00:00",137,1078403.5
"2022-01-10 00:00:00",1652,14273744.88
"2022-01-11 00:00:00",834,1869657.12
"2022-01-12 00:00:00",295,1946259.84
"2022-01-13 00:00:00",226,1380109.49
"2022-01-14 00:00:00",162,396919.67
"2022-01-15 00:00:00",190,655398.03
"2022-01-16 00:00:00",214,564391.1
"2022-01-17 00:00:00",181,474426.6
"2022-01-18 00:00:00",210,964120.12
"2022-01-19 00:00:00",154,474376.63
"2022-01-20 00:00:00",209,507727.75
"2022-01-21 00:00:00",251,726491.4
"2022-01-22 00:00:00",111,396876.36
"2022-01-23 00:00:00",90,148624.51
"2022-01-24 00:00:00",1446,2997832.74
"2022-01-25 00:00:00",342,697469.74
"2022-01-26 00:00:00",311,1001816.31
"2022-01-27 00:00:00",249,872247.88
"2022-01-28 00:00:00",737,3074750.13
"2022-01-29 00:00:00",443,1097757.9
"2022-01-30 00:00:00",195,722092.93
"2022-01-31 00:00:00",1551,6539011.93
"2022-02-01 00:00:00",616,2803240.76
"2022-02-02 00:00:00",273,1129621.23
"2022-02-03 00:00:00",2965,2714771.71
"2022-02-04 00:00:00",357,1021255.61
"2022-02-05 00:00:00",223,1602794.29
"2022-02-06 00:00:00",191,986808.36
"2022-02-07 00:00:00",1335,1153099.72
"2022-02-08 00:00:00",408,1117745.79
"2022-02-09 00:00:00",224,1361968.79
"2022-02-10 00:00:00",471,2176162.93
"2022-02-11 00:00:00",525,1257753.91
"2022-02-12 00:00:00",294,1625971.77
"2022-02-13 00:00:00",154,1183651.79
"2022-02-14 00:00:00",1581,1934644.8
"2022-02-15 00:00:00",281,680482.85
"2022-02-16 00:00:00",166,465657.3
"2022-02-17 00:00:00",158,450682.48
"2022-02-18 00:00:00",138,635146.18
"2022-02-19 00:00:00",76,322491.53
"2022-02-20 00:00:00",60,222668.4
"2022-02-21 00:00:00",60,294604.49
"2022-02-22 00:00:00",900,988086.62
"2022-02-23 00:00:00",198,650127.58
"2022-02-24 00:00:00",356,378334.12
"2022-02-25 00:00:00",326,263575.42
"2022-02-26 00:00:00",153,354042.97
"2022-02-27 00:00:00",133,452047.92
"2022-02-28 00:00:00",114,334370.35
"2022-03-01 00:00:00",1374,1351692.05
"2022-03-02 00:00:00",176,302175.58
"2022-03-03 00:00:00",291,451645.28
"2022-03-04 00:00:00",380,1076958.33
"2022-03-05 00:00:00",170,370037.32
"2022-03-06 00:00:00",117,362429.49
"2022-03-07 00:00:00",131,697489.65
"2022-03-08 00:00:00",176,921908.22
"2022-03-09 00:00:00",139,343308.42
"2022-03-10 00:00:00",241,409080.7
"2022-03-11 00:00:00",541,484695.17
"2022-03-12 00:00:00",380,308389.34
"2022-03-13 00:00:00",146,659899.98
"2022-03-14 00:00:00",152,632970.5
"2022-03-15 00:00:00",392,1177896.6
"2022-03-16 00:00:00",136,383836.98
"2022-03-17 00:00:00",202,931514.58
"2022-03-18 00:00:00",467,1025403.13
"2022-03-19 00:00:00",393,470223.01
"2022-03-20 00:00:00",144,156830.98
"2022-03-21 00:00:00",1701,4847981.67
"2022-03-22 00:00:00",1617,1647637.95
"2022-03-23 00:00:00",320,1735153.48
