"DateTime","Unique buyers"
"2021-12-15 00:00:00",278
"2021-12-16 00:00:00",341
"2021-12-17 00:00:00",589
"2021-12-18 00:00:00",284
"2021-12-19 00:00:00",181
"2021-12-20 00:00:00",1491
"2021-12-21 00:00:00",367
"2021-12-22 00:00:00",284
"2021-12-23 00:00:00",220
"2021-12-24 00:00:00",228
"2021-12-25 00:00:00",213
"2021-12-26 00:00:00",1107
"2021-12-27 00:00:00",617
"2021-12-28 00:00:00",259
"2021-12-29 00:00:00",245
"2021-12-30 00:00:00",212
"2021-12-31 00:00:00",311
"2022-01-01 00:00:00",282
"2022-01-02 00:00:00",142
"2022-01-03 00:00:00",171
"2022-01-04 00:00:00",98
"2022-01-05 00:00:00",103
"2022-01-06 00:00:00",146
"2022-01-07 00:00:00",307
"2022-01-08 00:00:00",122
"2022-01-09 00:00:00",82
"2022-01-10 00:00:00",1267
"2022-01-11 00:00:00",524
"2022-01-12 00:00:00",204
"2022-01-13 00:00:00",155
"2022-01-14 00:00:00",118
"2022-01-15 00:00:00",116
"2022-01-16 00:00:00",126
"2022-01-17 00:00:00",125
"2022-01-18 00:00:00",137
"2022-01-19 00:00:00",104
"2022-01-20 00:00:00",136
"2022-01-21 00:00:00",108
"2022-01-22 00:00:00",86
"2022-01-23 00:00:00",67
"2022-01-24 00:00:00",831
"2022-01-25 00:00:00",235
"2022-01-26 00:00:00",152
"2022-01-27 00:00:00",142
"2022-01-28 00:00:00",446
"2022-01-29 00:00:00",244
"2022-01-30 00:00:00",141
"2022-01-31 00:00:00",1007
"2022-02-01 00:00:00",428
"2022-02-02 00:00:00",181
"2022-02-03 00:00:00",1804
"2022-02-04 00:00:00",239
"2022-02-05 00:00:00",147
"2022-02-06 00:00:00",120
"2022-02-07 00:00:00",766
"2022-02-08 00:00:00",299
"2022-02-09 00:00:00",135
"2022-02-10 00:00:00",299
"2022-02-11 00:00:00",337
"2022-02-12 00:00:00",166
"2022-02-13 00:00:00",115
"2022-02-14 00:00:00",892
"2022-02-15 00:00:00",181
"2022-02-16 00:00:00",128
"2022-02-17 00:00:00",100
"2022-02-18 00:00:00",99
"2022-02-19 00:00:00",64
"2022-02-20 00:00:00",49
"2022-02-21 00:00:00",47
"2022-02-22 00:00:00",700
"2022-02-23 00:00:00",124
"2022-02-24 00:00:00",213
"2022-02-25 00:00:00",225
"2022-02-26 00:00:00",85
"2022-02-27 00:00:00",95
"2022-02-28 00:00:00",68
"2022-03-01 00:00:00",881
"2022-03-02 00:00:00",114
"2022-03-03 00:00:00",190
"2022-03-04 00:00:00",202
"2022-03-05 00:00:00",94
"2022-03-06 00:00:00",76
"2022-03-07 00:00:00",78
"2022-03-08 00:00:00",107
"2022-03-09 00:00:00",92
"2022-03-10 00:00:00",109
"2022-03-11 00:00:00",266
"2022-03-12 00:00:00",196
"2022-03-13 00:00:00",90
"2022-03-14 00:00:00",88
"2022-03-15 00:00:00",295
"2022-03-16 00:00:00",99
"2022-03-17 00:00:00",111
"2022-03-18 00:00:00",283
"2022-03-19 00:00:00",226
"2022-03-20 00:00:00",82
"2022-03-21 00:00:00",970
"2022-03-22 00:00:00",861
"2022-03-23 00:00:00",185
"2022-03-24 00:00:00",141
"2022-03-25 00:00:00",480
"2022-03-26 00:00:00",153
"2022-03-27 00:00:00",142
"2022-03-28 00:00:00",90
"2022-03-29 00:00:00",948
"2022-03-30 00:00:00",159
"2022-03-31 00:00:00",112
"2022-04-01 00:00:00",79
"2022-04-02 00:00:00",92
"2022-04-03 00:00:00",96
"2022-04-04 00:00:00",81
"2022-04-05 00:00:00",367
"2022-04-06 00:00:00",289
"2022-04-07 00:00:00",271
"2022-04-08 00:00:00",182
"2022-04-09 00:00:00",123
"2022-04-10 00:00:00",103
"2022-04-11 00:00:00",83
"2022-04-12 00:00:00",193
"2022-04-13 00:00:00",82
"2022-04-14 00:00:00",302
"2022-04-15 00:00:00",758
"2022-04-16 00:00:00",144
"2022-04-17 00:00:00",113
"2022-04-18 00:00:00",333
"2022-04-19 00:00:00",202
"2022-04-20 00:00:00",90
"2022-04-21 00:00:00",89
"2022-04-22 00:00:00",461
"2022-04-23 00:00:00",159
"2022-04-24 00:00:00",81
