DateTime,Number of sales,Sales USD,Average USD,Active market wallets,Unique buyers
2021-04-25,7.0,1285.33,183.62,8.0,7.0
2021-04-26,70.0,13901.4,198.59,18.0,17.0
2021-04-27,46.0,9416.47,204.71,20.0,19.0
2021-04-28,49.0,10557.25,215.45,19.0,18.0
2021-04-29,68.0,14909.21,219.25,31.0,30.0
2021-04-30,297.0,65877.04,221.81,97.0,95.0
2021-05-01,11159.0,3765957.87,337.48,1490.0,1477.0
2021-05-02,1706.0,3926670.53,2301.68,1147.0,869.0
2021-05-03,1142.0,3034317.04,2657.02,883.0,633.0
2021-05-04,350.0,986765.68,2819.33,416.0,237.0
2021-05-05,269.0,634103.49,2357.26,332.0,189.0
2021-05-06,191.0,472386.45,2473.23,260.0,144.0
2021-05-07,155.0,318572.1,2055.3,212.0,123.0
2021-05-08,97.0,257822.49,2657.96,150.0,81.0
2021-05-09,119.0,305362.86,2566.07,164.0,86.0
2021-05-10,62.0,159340.91,2570.01,98.0,50.0
2021-05-11,35.0,55219.31,1577.69,63.0,33.0
2021-05-12,41.0,90146.39,2198.69,72.0,36.0
2021-05-13,48.0,83277.97,1734.96,84.0,45.0
2021-05-14,43.0,97924.37,2277.31,70.0,36.0
2021-05-15,55.0,174975.58,3181.37,85.0,44.0
2021-05-16,85.0,249720.0,2937.88,121.0,58.0
2021-05-17,53.0,97279.56,1835.46,78.0,43.0
2021-05-18,80.0,126688.88,1583.61,113.0,68.0
2021-05-19,52.0,81372.77,1564.86,79.0,48.0
2021-05-20,84.0,132234.25,1574.22,119.0,65.0
2021-05-21,90.0,131551.89,1461.69,118.0,70.0
2021-05-22,70.0,95127.3,1358.96,110.0,64.0
2021-05-23,74.0,77908.78,1052.82,105.0,61.0
2021-05-24,100.0,119623.68,1196.24,128.0,83.0
2021-05-25,80.0,127782.6,1597.28,111.0,65.0
2021-05-26,56.0,99043.87,1768.64,86.0,48.0
2021-05-27,73.0,129850.84,1778.78,105.0,59.0
2021-05-28,134.0,219692.62,1639.5,162.0,109.0
2021-05-29,145.0,227217.17,1567.01,183.0,110.0
2021-05-30,603.0,1264990.24,2097.83,572.0,346.0
2021-05-31,471.0,1305683.74,2772.15,504.0,345.0
2021-06-01,518.0,2073539.33,4002.97,558.0,373.0
2021-06-02,294.0,1081012.87,3676.91,305.0,189.0
2021-06-03,177.0,781780.43,4416.84,229.0,147.0
2021-06-04,125.0,430080.91,3440.65,159.0,90.0
2021-06-05,255.0,1161394.0,4554.49,323.0,213.0
2021-06-06,347.0,1579569.91,4552.07,418.0,266.0
2021-06-07,525.0,3181534.72,6060.07,531.0,357.0
2021-06-08,267.0,1777059.48,6655.65,329.0,220.0
2021-06-09,162.0,1014166.7,6260.29,210.0,126.0
2021-06-10,128.0,763886.15,5967.86,184.0,104.0
2021-06-11,127.0,717969.6,5653.3,191.0,103.0
2021-06-12,79.0,445783.61,5642.83,118.0,72.0
2021-06-13,130.0,710631.01,5466.39,162.0,89.0
2021-06-14,94.0,613248.53,6523.92,144.0,82.0
2021-06-15,199.0,1757091.78,8829.61,277.0,159.0
2021-06-16,158.0,1276834.43,8081.23,227.0,136.0
2021-06-17,215.0,1831191.32,8517.17,277.0,170.0
2021-06-18,424.0,2135086.33,5035.58,439.0,288.0
2021-06-19,831.0,4681022.48,5633.0,803.0,476.0
2021-06-20,731.0,6976549.82,9543.84,631.0,380.0
2021-06-21,496.0,3694890.79,7449.38,471.0,265.0
2021-06-22,214.0,1433229.38,6697.33,241.0,144.0
2021-06-23,227.0,1500422.0,6609.79,251.0,142.0
2021-06-24,230.0,1713662.27,7450.71,261.0,134.0
2021-06-25,643.0,3217168.87,5003.37,662.0,377.0
2021-06-26,804.0,4286134.87,5331.01,789.0,479.0
2021-06-27,355.0,1589932.45,4478.68,432.0,243.0
2021-06-28,211.0,1053691.4,4993.8,299.0,157.0
